,1e+52,1.0481131341546917e+52,1.0985411419875527e+52,1.1513953993264481e+52,1.2067926406393362e+52,1.2648552168552905e+52,1.3257113655901109e+52,1.3894954943731473e+52,1.4563484775012384e+52,1.5264179671752364e+52,1.5998587196060703e+52,1.6768329368110032e+52,1.7575106248547965e+52,1.8420699693267014e+52,1.9306977288832456e+52,2.0235896477251637e+52,2.1209508879201752e+52,2.222996482526191e+52,2.3299518105153813e+52,2.4420530945486347e+52,2.5595479226995334e+52,2.6826957952797383e+52,2.8117686979742137e+52,2.94705170255181e+52,3.0888435964774974e+52,3.237457542817627e+52,3.3932217718953295e+52,3.5564803062231504e+52,3.7275937203149227e+52,3.906939937054621e+52,4.0949150623804524e+52,4.291934260128761e+52,4.498432668969453e+52,4.7148663634574285e+52,4.941713361323818e+52,5.179474679231223e+52,5.428675439323904e+52,5.689866029018281e+52,5.96362331659466e+52,6.250551925273925e+52,6.551285568595495e+52,6.866488450043026e+52,7.19685673001147e+52,7.543120063354607e+52,7.906043210907734e+52,8.286427728546792e+52,8.685113737513521e+52,9.102981779915264e+52,9.540954763499885e+52,1e+53
10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10481131.341546852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10985411.419875573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11513953.993264481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12067926.40639329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12648552.168552957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13257113.655901082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13894954.943731388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14563484.775012445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15264179.671752334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15998587.196060574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16768329.368110066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17575106.24854793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18420699.693267163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19306977.288832497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20235896.477251556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21209508.879201926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
