logE_grb,logE_aft,logr,logend_grb,beta,theta,log_prob,E_iso_grb,E_iso_aft,r_mpc,t90,snr
48.748799375497185,51.64190130543987,6.399316473196848,5.913174753104667,0.9686766339388924,0.531307853245025,-1.999999876766246,5.607888569758886e+48,4.38431051846519e+51,2507936.1365978727,818794.1914519961,3.080843892455294e-07
44.636797330535884,48.316144356727655,8.974855505796262,-0.04747484203992469,0.9414719734837066,1.5644414438926648,-1.9999999999631037,4.333086217992922e+44,2.0708295650012802e+48,943746829.8495082,0.8964481142004703,9.22411337026942e-11
40.36903381062611,44.217090541177214,7.415168381811205,0.8110946915428361,0.8158386550756164,0.17940016038697965,-1.9999999999999871,2.3390193285383246e+40,1.6485060342051947e+44,26011678.754514158,6.4728373108908555,3.1867948672378106e-14
42.14518931464879,56.58137255581728,4.460521728761247,5.639772645571174,0.29509760629652526,0.12831463046656957,-1.9999337686449488,1.3969771889888434e+42,3.8139285771207543e+56,28874.982438160532,436287.37473225896,0.00016557975846115145
40.65439286378732,54.52027972050417,9.223907389542086,2.216441626392689,0.8162789124032991,0.8818122213622235,-1.99998763007192,4.51224698877872e+40,3.313444652003024e+54,1674585743.4919484,164.60447062639093,3.092486801724999e-05
41.83584792341341,56.34029628474124,5.111691912191578,1.5223772431018012,0.9604500180660349,0.30180585257662285,0.0,6.8524823155495585e+41,2.189254669732688e+56,129327.80665697402,33.29486383428276,69.98289270649575
58.51937496110867,53.80207194081369,4.234888091644745,1.1438302227633277,0.7252036342278936,0.14412550772748234,0.0,3.3065489861292815e+58,6.339747203735928e+53,17174.657761111786,13.926122874243205,6974.192962292401
55.801713349796195,45.27685112273678,9.08581602761337,4.051238437169462,0.8795763282952186,0.14191921236579652,-1.999765298781903,6.33451472161725e+55,1.8916950295702527e+45,1218473329.5681796,11252.225762180744,0.0005867702602087107
56.63717810516911,53.67280286660148,6.364841945564429,0.43391832801533714,0.7701951393230975,0.708002919699406,0.0,4.336886986587916e+56,4.707635905655815e+53,2316551.4252053113,2.715928472280508,10.676110332871895
58.89798978807104,43.407083864382884,5.9389824908306394,1.9243436644469178,0.9019185389331921,1.4546393173355483,0.0,7.906600363312925e+58,2.553194289332046e+43,868925.3966776457,84.01245280657314,7687.103445730234
45.41328377962189,52.85762508701972,7.997227186332629,2.011259360707584,0.866053475309911,0.6467878209484365,-1.9999927866421903,2.5899046753076428e+45,7.204852380413231e+52,99363569.90864101,102.6264628618043,1.8033410784036688e-05
58.70229368971441,56.427956378501655,6.75449921853645,-1.8791598178103923,0.8696434415189459,0.6287191486185162,0.0,5.038412139916293e+58,2.678899236740767e+56,5681973.691524123,0.013208094946322588,739.0082112286461
59.26260697418359,58.47581238407508,8.15384201108464,5.294939813749398,0.7759869720890371,0.20806359025465548,0.0,1.8306569730080617e+59,2.9909722525780945e+58,142508907.62266666,197214.9408894327,12.923227660884532
52.59098886553751,45.89175220176769,3.297802680644115,5.08098255741781,0.8112971224645353,0.7922098016153765,-1.4669944718433106,3.899319894535824e+52,7.793852846915402e+45,1985.1927508046203,120498.75434493845,1.435554682749994
56.04366436290159,46.75589971772094,3.222242898199141,3.442257727634429,0.996473025387562,0.3439305858207765,0.0,1.1057688790134794e+56,5.700326317138484e+46,1668.1799543482139,2768.5841460477523,11399.093046138029
52.36071696830247,49.30190174417206,5.111456603765929,1.6876665375483508,0.5421569205517334,0.5196462227581403,-1.9990834964667181,2.2946527250534377e+52,2.0040185820897324e+49,129257.75354541771,48.71542968896728,0.0022915213867182593
40.569437653185375,40.62710564681362,3.078978894607979,5.534954603102986,0.13959204261753166,1.169480633923626,-1.9999999999999796,3.710544575194792e+40,4.237460343028475e+40,1199.4410125448496,342731.9588274576,5.092955654646464e-14
45.30036668868695,57.04925791752041,3.9375805254139946,5.274671292727475,0.2884769604647951,0.21627665638814225,-1.9960236420950457,1.9969476900067674e+45,1.120102889367609e+57,8661.249024226532,188222.39392237578,0.009945840749797024
50.83427789213971,42.17799832416859,6.013542736372654,5.675362409550982,0.8466309983545525,0.6034528905911781,-1.999980982948985,6.827754421215984e+50,1.5066012525863483e+42,1031674.5954903888,473546.25845674286,4.75427405528147e-05
54.573221470884555,41.06940899461156,8.314224607074838,-1.6523001667969073,0.9499119606760918,0.03312752656478368,-1.999986610705752,3.7430141669846316e+54,1.1732997945139272e+41,206169589.90932,0.022268954770826938,3.347329164283772e-05
48.15116229556395,59.48601477995875,5.742811834646791,3.2779986572456323,0.08310821273304692,0.420981067192325,-1.6227146611540384,1.4163229600379856e+48,3.0620676405485e+59,553110.4129492826,1896.700056973103,0.9924624309580635
58.28604879252813,45.150394608116706,9.115107362246633,1.2258672009926674,0.9573836552826267,0.40786008975106136,-1.3900437034092485,1.9321853838181333e+58,1.4138215860087433e+45,1303488975.0586705,16.821596099474526,1.6632029429485062
58.711878982852625,55.01646001356365,3.882826705668017,-1.355313272936053,0.9123720829545859,1.4094944896238888,0.0,5.150850949466032e+58,1.0386279692868149e+55,7635.310548469849,0.044125204084295704,604293.8724940565
45.992702767336795,58.757658298725445,5.19244129357955,4.805840126202329,0.38392762751798354,0.07885821812374694,-1.9907696352675537,9.833378755236994e+45,5.723455344580391e+58,155754.7476739644,63949.93777022888,0.023102598333604844
