E_GRB,T_90,E_aft,t_dec,t_jet_break,d,theta,beta,snr,inv_T90,inv_t_diff,t_diff,t_diff_e,t_diff_days,d_Mpc,theta_deg,t_break_dec_diff,inv_t_break_dec_diff
9.844326455528558e+54,3.2781107157012395,6.988256300449345e+50,88.20493762412046,32623.93040156466,41347055.55220898,1.3801991462297745,0.9836647944286192,6.748159567562265,0.3050537601461347,3.073544498364739e-05,32535.72546394054,3.25e+04,0.3765708965733859,41.347055552208985,79.07958596652563,32535.72546394054,3.073544498364739e-05
9.476038756869407e+54,0.109038997251007,3.138895547042173e+55,14.678654551981197,19919.01814533303,47574445.82238341,1.003501340023282,0.913588925785687,5.753361581257626,9.17103077991452,5.0240300637112976e-05,19904.339490781047,1.99e+04,0.23037429966181766,47.57444582238341,57.496391519056615,19904.339490781047,5.0240300637112976e-05
8.933934975114668e+54,1.9776084065158788,1.2934437374094858e+52,10.513015211367442,113789.4466076285,48617136.797488384,1.1928434342546197,0.9407261588118075,5.325828234555112,0.5056612809215274,8.788973216977362e-06,113778.93359241713,1.14e+05,1.3168858054677908,48.617136797488385,68.3448944026806,113778.93359241713,8.788973216977362e-06
7.416176137400895e+54,0.291459244143458,2.0990180356898104e+51,0.01847785056998,320495.846249225,43109162.26443028,1.0554395719804055,0.937187869945115,5.265636726180937,3.4310114367406856,3.120165422912618e-06,320495.82777137443,3.20e+05,3.7094424510575745,43.109162264430275,60.47223300557129,320495.82777137443,3.120165422912618e-06
8.170165026185462e+54,5.995936901136396,1.6230640027554492e+53,0.1094084637422701,58158.01726970077,42192949.23770614,1.2458315159300288,0.917014740177598,5.089398368158554,0.16677960700528258,1.719456625547757e-05,58157.90786123703,5.82e+04,0.6731239335791322,42.19294923770614,71.38088784717604,58157.90786123703,1.719456625547757e-05
5.891163105070028e+54,0.816705694880103,8.266789147612153e+52,195.0319553819504,217524.97031820103,44906813.45515616,1.1027588667680128,0.9962384743479424,4.664874652386131,1.224431280777105,4.60129887089261e-06,217329.93836281908,2.17e+05,2.515392805125221,44.90681345515616,63.18342888643659,217329.93836281908,4.60129887089261e-06
9.633049513575392e+54,20.94699408258159,1.8338563656716577e+54,0.5087099175721023,162312.35915327782,46029614.50156944,1.5071124556051456,0.9327033589340232,4.514188480141807,0.0477395465935395,6.1609796035746405e-06,162311.85044336025,1.62e+05,1.8786093801314845,46.02961450156944,86.3511829577725,162311.85044336025,6.1609796035746405e-06
7.02549091539463e+54,1.0455778483338145,5.055529334266709e+50,0.3149727197363268,705822.8199922103,55497420.3145929,1.1395849246355203,0.9996910070819538,4.441499226252612,0.956408938457863,1.4167867883050656e-06,705822.5050194905,7.06e+05,8.169241956244102,55.4974203145929,65.2934065783493,705822.5050194905,1.4167867883050656e-06
5.5481098890227086e+54,2.8039084616995265,6.345214249361103e+54,273.8458398267973,12041.242558053224,43945664.61359225,1.1627814795632545,0.9712869441207924,4.038507527695708,0.3566450237800817,8.498056315642933e-05,11767.396718226426,1.18e+04,0.13619672127576882,43.94566461359225,66.62247127495186,11767.396718226426,8.498056315642933e-05
9.696706886350756e+54,0.3436478277782217,1.406444790493772e+55,641.63549551148,43090.998919475496,67907596.8852581,1.106487251608769,0.909081703394891,3.9412020955487774,2.9099558302616857,2.3557479296272984e-05,42449.363423964016,4.24e+04,0.4913120766662502,67.90759688525809,63.39704960221247,42449.363423964016,2.3557479296272984e-05
6.369964827604164e+54,0.2680081827690479,1.2364857256087028e+54,1.8545178287647757,40502.948274463255,54316056.51449855,1.0733362403465434,0.96795723872664,3.9061087796025302,3.7312293589995913,2.469069121957206e-05,40501.09375663449,4.05e+04,0.4687626592203066,54.31605651449855,61.49763657029629,40501.09375663449,2.469069121957206e-05
9.070481519235968e+54,0.1964188357000609,7.656665789439066e+53,17.932610380485336,153024.49345149248,56525348.39211741,1.5163580344061458,0.9628790942747286,3.877232046505415,5.091161427751452,6.535667454406999e-06,153006.560841112,1.53e+05,1.7709092689943517,56.52534839211741,86.88091560222543,153006.560841112,6.535667454406999e-06
7.87388798846252e+54,14.119931679267706,8.763766111227474e+50,851.6890552827205,697255.5279754201,64215361.7439643,1.0471518797170958,0.9552691342273002,3.863811108827976,0.07082187242225116,1.4359484312301136e-06,696403.8389201374,6.96e+05,8.06022961713122,64.2153617439643,59.997383216980424,696403.8389201374,1.4359484312301136e-06
7.546997384313598e+54,0.1289481996935947,1.6500817838905847e+50,0.563713465493798,272650.521400724,61533532.67471808,1.069690076462111,0.9356638073989988,3.716174185310184,7.75505204707153,3.667706419184718e-06,272649.95768725855,2.73e+05,3.1556708065654924,61.53353267471808,61.288726768305274,272649.95768725855,3.667706419184718e-06
8.033949418236468e+54,2.173142442068265,2.2689053209174965e+54,0.7915132431098164,15025.163456707483,60229189.39858833,1.1279127791535364,0.906524778461742,3.621474076239794,0.4601631170795508,6.655852262995937e-05,15024.371943464374,1.50e+04,0.1738931937900969,60.22918939858833,64.62464190436894,15024.371943464374,6.655852262995937e-05
8.72546255366274e+54,6.663693283190973,3.259046034791603e+52,108.97571142086636,754314.6862631612,69399173.46794298,1.1747820816547256,0.93300795541673,3.5773102656179514,0.15006693097992357,1.3258982078887316e-06,754205.7105517404,7.54e+05,8.729232761015513,69.39917346794299,67.31005512640904,754205.7105517404,1.3258982078887316e-06
9.418576905916511e+54,8.971303085290808,1.2941346015002578e+53,0.0116380322506311,392858.7106640221,64304023.11060619,1.443745097684484,0.9404072535605,3.5364877335767093,0.1114665272695538,2.5454444625492292e-06,392858.6990259898,3.93e+05,4.546975683171178,64.3040231106062,82.72050079002369,392858.6990259898,2.5454444625492292e-06
5.6729847788465735e+54,31.024681711300254,1.5144142580350502e+52,2.946693787514249,756918.734557015,42988591.516957805,1.0202539934979975,0.921156315018448,3.510459442319439,0.032232401586114116,1.3211509338746902e-06,756915.7878632275,7.57e+05,8.760599396565134,42.988591516957804,58.45624785880299,756915.7878632275,1.3211509338746902e-06
6.508476046541866e+54,58.69517721760833,4.6913775085779374e+55,3.3635535480658354,424595.93570388766,40568896.49787485,1.4066309670202393,0.9748281702728966,3.405475645612209,0.0170371748992693,2.3551989968536717e-06,424592.5721503396,4.25e+05,4.914265881369672,40.568896497874846,80.5940177426654,424592.5721503396,2.3551989968536717e-06
6.0254830987366543e+54,0.2267756042484049,6.499294473558992e+51,6.393297201466291,295894.99717540527,64100447.497954994,1.0283217233533235,0.9783657867204512,3.3029326652116,4.4096453995316995,3.379650270044292e-06,295888.6038782038,2.96e+05,3.424636618960692,64.10044749795499,58.91849472976486,295888.6038782038,3.379650270044292e-06
8.113388794279145e+54,2.50835358078406,4.2427958437703134e+55,0.4400542630995558,40859.18981018195,90512523.90512714,1.0444873946388828,0.9907269291110566,3.240007556903456,0.39866787826914757,2.4474561898584248e-05,40858.749755918856,4.09e+04,0.4729021962490608,90.51252390512714,59.84471946742323,40858.749755918856,2.4474561898584248e-05
5.0494232754625476e+54,29.56290099579889,1.5083200024494817e+51,139.13842991449764,51939.9703984498,44523278.595328376,1.201100586770297,0.956929648397525,3.1082320032675823,0.03382617964800232,1.930470924882861e-05,51800.8319685353,5.18e+04,0.5995466663024919,44.52327859532838,68.81799439262474,51800.8319685353,1.930470924882861e-05
4.954572417319532e+54,0.1338408516466918,3.6173367689933844e+52,0.044809070274984,634494.2061628833,50163345.2622856,1.2859524460217389,0.9901069936258338,3.0603359950701936,7.471560347208217,1.5760586320704847e-06,634494.161353813,6.34e+05,7.343682423076539,50.163345262285596,73.67964781157045,634494.161353813,1.5760586320704847e-06
7.577300612613874e+54,7.584066913383222,2.5988431844136155e+52,725.1242310130887,30292.589908270213,54030205.69116168,1.548486237525287,0.9062026253758848,2.8816074099374824,0.13185537672872455,3.382095749819998e-05,29567.465677257125,2.96e+04,0.34221603793121674,54.030205691161676,88.72172604429127,29567.465677257125,3.382095749819998e-05
9.79960866550841e+54,0.2319651446523699,2.6973161873671822e+53,64.95497026290029,11902.42903748277,111871419.87136088,1.196710217184543,0.9872035734917984,2.8660776078288044,4.310992504924094,8.44774817939566e-05,11837.47406721987,1.18e+04,0.13700780170393367,111.87141987136089,68.56644474485843,11837.47406721987,8.44774817939566e-05
