E_GRB,T_90,E_aft,t_dec,t_jet_break,d,theta,beta,snr
7.572953135878971e+49,102.87804484795771,6.894084467035862e+54,0.018504758553264788,34071.57467793215,4130827351.867085,1.3704011478654012,0.9591318550286911,7.630096309978701e-05
3.0095613843449838e+54,0.29743642424340133,5.81134754642244e+52,950.9849527031655,658805.8720112938,466165497.81054264,1.008396721291462,0.9337164534702387,0.19870210513256295
2.7860217712960237e+51,10.555050647371365,3.065800640242777e+54,1.5165128061389954,144918.6817284103,78501267.4210038,1.5302687112072997,0.9198963970328415,0.0008290796729213997
1.5748719898109478e+46,6.335872007112553,1.3045992267588932e+50,11.599991021800282,15478.017631948147,2190968626.123953,1.1338193230121996,0.9962530499993634,7.740020514670693e-09
2.5145383049320677e+47,55.97309957332609,4.276884108694828e+51,19.433913389026017,14294.244050546655,9225234789.76284,1.4127507487275042,0.9060302849894608,4.325773383981683e-08
3.103966452486865e+52,1.3664671114064972,9.02255541039245e+55,0.6007218284525246,175296.21631288715,282351250.8465581,1.2313854684832242,0.9820415702626641,0.00478815805030516
2.7012846930466564e+53,186.57683241651884,1.7016296800004e+51,89.54672770409313,335851.0266104219,122808421.09946574,1.2542616565849258,0.9738122689921617,0.023348102685141054
4.742985565319606e+48,0.18757284660996562,2.248691502809047e+53,0.13032631424371796,74577.65719886043,949868475.3811194,1.1008016411515908,0.9472270401145845,5.655411203418024e-06
8.193301454320785e+48,15.599356555867235,1.145584295954062e+51,0.2602312443491454,496333.8742825716,1372186085.1574569,1.4607029756641148,0.901840073477305,1.2741099928410266e-07
1.695575749812857e+53,3.123536108316229,3.401451654068211e+53,45.368835020972,46474.314735918815,44736614.34565409,1.1862459464182973,0.9769012626308837,0.12129989738407555
7.087392707685464e+51,87.81301793435445,1.448637559282862e+52,0.0674421969032126,21112.536708404474,407888171.03152084,1.3011999417538664,0.9657368555064672,0.00032924051289045473
1.01561766776618e+48,0.7121419970027326,2.6944121915546604e+55,174.9976925401423,109180.27090231223,3360586741.4941936,1.0643712639985947,0.9395699446167421,0.00013033622975415753
9.16210224772342e+46,404.26097202944385,8.105339099093295e+53,435.7857875707136,230664.1351190034,762375475.6476576,1.3438801381890866,0.9542924887633389,7.1791549380388005e-06
4.416481025654152e+50,0.1355713167362706,4.854355895604281e+50,0.03993011661693362,10388.385516345794,108909349.62276894,1.0314746645835153,0.9291980090696983,0.0001221340231497331
2.720996998479972e+54,24.97187305932266,1.1456016203642456e+55,6.349974507812189,54199.12355876834,162207322.61767238,1.4951238342310018,0.9126568322436244,0.3433419515207421
9.082275063750382e+49,1.7100437361913279,3.463628403293013e+52,2.7393625755676787,441926.3729576086,5730907464.154054,1.1558766029597056,0.9878041426862694,5.33407814648234e-07
2.6865349716991254e+50,30.262486822482835,4.0950103632338744e+53,76.07932695712806,19384.17451263266,90936859.28101143,1.0266813310054257,0.9152800995824139,0.0003953617059814335
9.183966537112175e+53,2.067497507351084,6.137714826510997e+50,0.11322451581998166,115764.24026122043,643483132.3412136,1.3857460145546932,0.9914551867621498,0.04103198282758715
6.709189102937079e+50,380.1376843948918,3.221975831402168e+55,16.508358478027176,810299.4120015617,6831078914.99366,1.1462628081920354,0.9515604616087423,1.0425427126791978e-05
6.040997201560972e+46,0.1282458891004819,7.70925621959325e+51,0.5219829026086326,27705.25749362686,191277320.93597397,1.5583616949623975,0.9257732459257787,1.799031329433088e-06
