# Theta(rad) Phi(rad) Memory(strain)
1.083307811582687324e-01 5.005249312498992076e+00 3.539284188045042292e-27
1.083307811582687324e-01 5.111743978722374848e+00 3.148212572096443427e-27
1.083307811582687324e-01 5.218238644945757621e+00 2.880471117475383450e-27
1.083307811582687324e-01 5.324733311169140393e+00 2.243340583533069054e-27
1.083307811582687324e-01 5.431227977392523165e+00 1.671015245884080283e-27
1.083307811582687324e-01 5.537722643615905938e+00 1.294907140513217943e-27
1.083307811582687324e-01 5.644217309839288710e+00 8.252095077337575138e-28
1.083307811582687324e-01 5.750711976062672370e+00 9.721904930434602343e-29
1.083307811582687324e-01 5.857206642286055143e+00 -2.214971428842385400e-28
1.083307811582687324e-01 5.963701308509437915e+00 -5.777982417633622111e-28
1.083307811582687324e-01 6.070195974732820687e+00 -1.065656341461598457e-27
1.083307811582687324e-01 6.176690640956203460e+00 -1.158912891886727435e-27
1.083307811582687324e-01 6.283185307179586232e+00 -1.148602854753726815e-27
2.166615623165374649e-01 0.000000000000000000e+00 -7.115979812975329993e-27
2.166615623165374649e-01 1.064946662233828140e-01 -7.109193477425310988e-27
2.166615623165374649e-01 2.129893324467656279e-01 -6.664892775515636097e-27
2.166615623165374649e-01 3.194839986701484280e-01 -6.180534718886865480e-27
2.166615623165374649e-01 4.259786648935312559e-01 -5.207931770723990982e-27
2.166615623165374649e-01 5.324733311169140837e-01 -3.885765794462123281e-27
2.166615623165374649e-01 6.389679973402968560e-01 -2.461103319118554310e-27
2.166615623165374649e-01 7.454626635636797394e-01 -3.540726383780186476e-28
2.166615623165374649e-01 8.519573297870625117e-01 1.249463077252243397e-27
2.166615623165374649e-01 9.584519960104452840e-01 3.158384343387508722e-27
2.166615623165374649e-01 1.064946662233828167e+00 4.532203050442341374e-27
2.166615623165374649e-01 1.171441328457210940e+00 5.713689526346227890e-27
2.166615623165374649e-01 1.277935994680593712e+00 6.912415277357880536e-27
2.166615623165374649e-01 1.384430660903976484e+00 7.465697544162844711e-27
2.166615623165374649e-01 1.490925327127359479e+00 8.122465570109060703e-27
2.166615623165374649e-01 1.597419993350742251e+00 7.848516890629996575e-27
2.166615623165374649e-01 1.703914659574125023e+00 7.509954705618162825e-27
2.166615623165374649e-01 1.810409325797507796e+00 6.750677967779510166e-27
2.166615623165374649e-01 1.916903992020890568e+00 5.719493009845232736e-27
