# Theta(rad) Phi(rad) Memory(strain)
0.000000000000000000e+00 2.481594196953281983e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.534394073484202980e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.587193950015123978e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.639993826546044531e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.692793703076965528e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.745593579607886525e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.798393456138807522e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.851193332669728076e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.903993209200649073e+00 1.436641130598231095e-27
0.000000000000000000e+00 2.956793085731570070e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.009592962262491067e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.062392838793411620e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.115192715324332617e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.167992591855253615e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.220792468386174612e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.273592344917095165e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.326392221448016162e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.379192097978937159e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.431991974509858156e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.484791851040779154e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.537591727571699707e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.590391604102620704e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.643191480633541701e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.695991357164462698e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.748791233695383252e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.801591110226304249e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.854390986757225246e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.907190863288146243e+00 1.436641130598231095e-27
0.000000000000000000e+00 3.959990739819066796e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.012790616349987793e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.065590492880908791e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.118390369411829788e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.171190245942750785e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.223990122473671782e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.276789999004592779e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.329589875535512888e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.382389752066433886e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.435189628597354883e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.487989505128275880e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.540789381659196877e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.593589258190117874e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.646389134721038872e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.699189011251959869e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.751988887782879978e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.804788764313800975e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.857588640844721972e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.910388517375642969e+00 1.436641130598231095e-27
0.000000000000000000e+00 4.963188393906563967e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.015988270437484964e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.068788146968405961e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.121588023499326958e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.174387900030247955e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.227187776561168064e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.279987653092089062e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.332787529623010059e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.385587406153931056e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.438387282684852053e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.491187159215773050e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.543987035746694048e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.596786912277615045e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.649586788808535154e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.702386665339456151e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.755186541870377148e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.807986418401298145e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.860786294932219143e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.913586171463140140e+00 1.436641130598231095e-27
0.000000000000000000e+00 5.966386047994061137e+00 1.436641130598231095e-27
0.000000000000000000e+00 6.019185924524982134e+00 1.436641130598231095e-27
0.000000000000000000e+00 6.071985801055903131e+00 1.436641130598231095e-27
0.000000000000000000e+00 6.124785677586823240e+00 1.436641130598231095e-27
0.000000000000000000e+00 6.177585554117744238e+00 1.436641130598231095e-27
0.000000000000000000e+00 6.230385430648665235e+00 1.436641130598231095e-27
0.000000000000000000e+00 6.283185307179586232e+00 1.436641130598231095e-27
5.324733311169140698e-02 0.000000000000000000e+00 7.630972418810120044e-28
5.324733311169140698e-02 5.279987653092089311e-02 7.410343223928666153e-28
5.324733311169140698e-02 1.055997530618417862e-01 7.097890427827563177e-28
5.324733311169140698e-02 1.583996295927626863e-01 6.716686276638296526e-28
5.324733311169140698e-02 2.111995061236835725e-01 6.297037649466897698e-28
5.324733311169140698e-02 2.639993826546044864e-01 5.840491306343607870e-28
5.324733311169140698e-02 3.167992591855253726e-01 5.212257874234271378e-28
5.324733311169140698e-02 3.695991357164462587e-01 4.204304829350681439e-28
5.324733311169140698e-02 4.223990122473671449e-01 6.388030434689986238e-28
5.324733311169140698e-02 4.751988887782880311e-01 7.462270175977064978e-28
5.324733311169140698e-02 5.279987653092089728e-01 7.772402843823340436e-28
5.324733311169140698e-02 5.807986418401298589e-01 8.032298199552906111e-28
5.324733311169140698e-02 6.335985183710507451e-01 8.278759163429151109e-28
5.324733311169140698e-02 6.863983949019716313e-01 8.498563495643564078e-28
5.324733311169140698e-02 7.391982714328925175e-01 8.688416780630527026e-28
5.324733311169140698e-02 7.919981479638134036e-01 8.861924806809504609e-28
5.324733311169140698e-02 8.447980244947342898e-01 9.043560665961402884e-28
5.324733311169140698e-02 8.975979010256551760e-01 9.255164219437777538e-28
5.324733311169140698e-02 9.503977775565760622e-01 9.503926264410054302e-28
5.324733311169140698e-02 1.003197654087496948e+00 9.780368704200839326e-28
5.324733311169140698e-02 1.055997530618417946e+00 1.007771331456302540e-27
5.324733311169140698e-02 1.108797407149338721e+00 1.055386304860197417e-27
5.324733311169140698e-02 1.161597283680259718e+00 1.308250491152105939e-27
5.324733311169140698e-02 1.214397160211180493e+00 1.502970990060808138e-27
5.324733311169140698e-02 1.267197036742101490e+00 1.366029353680170828e-27
5.324733311169140698e-02 1.319996913273022265e+00 1.305901021094725962e-27
5.324733311169140698e-02 1.372796789803943263e+00 1.272052959536002464e-27
5.324733311169140698e-02 1.425596666334864038e+00 1.247193676702136282e-27
5.324733311169140698e-02 1.478396542865785035e+00 1.228685404308590634e-27
5.324733311169140698e-02 1.531196419396705810e+00 1.217517545582789588e-27
5.324733311169140698e-02 1.583996295927626807e+00 1.214840434881420663e-27
5.324733311169140698e-02 1.636796172458547582e+00 1.220878195636008350e-27
5.324733311169140698e-02 1.689596048989468580e+00 1.234641213243465480e-27
5.324733311169140698e-02 1.742395925520389577e+00 1.254138736051932221e-27
5.324733311169140698e-02 1.795195802051310352e+00 1.277739562016548799e-27
5.324733311169140698e-02 1.847995678582231349e+00 1.308685843298076187e-27
5.324733311169140698e-02 1.900795555113152124e+00 1.368485514552748351e-27
5.324733311169140698e-02 1.953595431644073122e+00 1.428708433524010449e-27
5.324733311169140698e-02 2.006395308174993897e+00 1.154762206379448560e-27
5.324733311169140698e-02 2.059195184705914894e+00 1.075778537962234737e-27
5.324733311169140698e-02 2.111995061236835891e+00 1.038601096093967318e-27
5.324733311169140698e-02 2.164794937767756444e+00 1.003314001181515601e-27
5.324733311169140698e-02 2.217594814298677441e+00 9.685481878987218012e-28
5.324733311169140698e-02 2.270394690829598439e+00 9.356038208144240222e-28
5.324733311169140698e-02 2.323194567360519436e+00 9.048964642918975606e-28
5.324733311169140698e-02 2.375994443891439989e+00 8.756133854712811142e-28
5.324733311169140698e-02 2.428794320422360986e+00 8.463468426196585783e-28
