logE_grb,logE_aft,logr,logT90,theta,logt_dec,logt_jet_break,log_prob,E_iso_grb,E_iso_aft,r_pc,T90,t_dec,t_jet_break_days,snr
54.44731304178385,54.274015704385384,4.817506124264066,1.4328884997308353,1.0328741480554178,2.5136496911086925,0.1915245883208787,132.50931409115978,2.8009995676246354e+54,1.8793847754129232e+54,65691.03799240795,27.09495909700558,326.32450740661983,1.5542632855404692,1425.2522512727332
50.791118089940355,52.562899820899496,4.511773573083855,1.9690435692289672,0.37127492573390763,0.7028841089983344,2.2116913179456184,-2.8490214515895693,6.1818446914700786e+50,3.6551046925797745e+52,32491.78516934174,93.12012906248012,5.04526647221457,162.81383947343113,0.4982796001605709
55.1171642564228,55.15141640662405,5.010452209137331,2.2867672264680676,0.2013075178507797,3.074570892920236,0.975815298126357,119.61452024690539,1.3096771680910532e+55,1.417151910568791e+55,102435.90510484703,193.53843569215982,1187.3285011458759,9.458348200405773,1380.306098700007
54.73164472108634,54.63693884114015,5.100679080148148,1.4057946420856575,1.08927249328336,0.20858465097937318,2.024164593887636,125.24409312420659,5.390694509697821e+54,4.3344983417578235e+54,126089.54575256958,25.45626258207922,1.6165332837367636,105.72181099022293,1395.6229230181086
54.60446827000629,54.07520125228719,5.08069474554536,1.159085084867256,0.6548521722889993,2.332930673477186,0.7646005513280424,122.80248428259335,4.0222426801366544e+54,1.1890531076121842e+54,120418.92491039065,14.423979114439096,215.24381131337194,5.815680660069183,1358.3594355461262
54.93702600848514,55.22904213903095,5.274025155779316,1.8081933632332097,0.3421716368720308,3.446026824976146,1.6281428581820019,121.2774642211524,8.650197204444574e+54,1.6945022078250845e+55,187942.56762299623,64.29739282854518,2792.716333033963,42.475926260581026,1408.1796550576194
53.53259335355252,53.61150317843851,4.984922106329097,1.1235576671805945,1.015818250583276,0.0698233042477705,1.4713102902068618,4.881897383502633,3.408735892372194e+53,4.087927439010222e+53,96587.7626727696,13.291000280838919,1.1744196368678024,29.601266317130207,125.99644696992137
55.05838909836626,54.5200411494802,5.349898820199601,1.846482026859479,0.9428075999214872,0.952061163763353,2.100636658860236,120.0905338505481,1.1439027350018564e+55,3.3116249770228107e+54,223819.96330382227,70.22342813895612,8.954908729201154,126.07723010058965,1415.3199960647512
54.589642594462916,55.87693685181232,5.013840027671216,1.567012455171207,0.675910836912855,2.1687212969908147,1.7985673556221125,124.99227955792426,3.8872510940622144e+54,7.532460307278344e+55,103238.10582561088,36.8988180664222,147.47598210132657,62.8879380748295,1377.9091047707882
51.378755483978125,52.03538967173519,4.977834202813361,0.8560508385327065,0.2706970820250545,1.7068429636992901,0.7804126381499097,-3.8934617777334233,2.3919686535462572e+51,1.0848999064134167e+52,95024.19580079347,7.178783212234151,50.91467356828812,6.031323707650855,0.9405799718256638
54.17700226772191,54.47306004859809,4.894371005390576,1.634133358053831,0.8495695364759068,1.3285986420007916,0.9905750182723625,54.547655468551675,1.503149814950674e+54,2.9720769435126308e+54,78409.91903149619,43.06588318512509,21.310745469499096,9.785319678414526,643.5750617571681
53.20852112436836,52.60722631116889,4.689676941814515,1.6061889219380387,0.7886399647022826,2.185763698727821,1.05863402834521,5.997987553723638,1.6162968419328081e+53,4.0478677142747934e+52,48941.46235802049,40.3821020478062,153.37822190073686,11.445480462021616,114.96292530062694
50.70962570726245,53.971788464253976,4.756441125927907,1.217941014473521,0.0506922590870762,2.78527743712413,2.1715806876823285,-2.262031751363267,5.124195695001833e+50,9.37105451307505e+53,57074.36994498544,16.51737445345164,609.9264075780422,148.45016603864468,0.04779038773535227
51.357614484982186,51.889790020754724,4.707260473349378,1.1038572432812628,0.3927252657995956,2.743583932937455,1.4628280060448973,-1.7152631621905428,2.2783187535296657e+51,7.758718956829791e+51,50963.64400104335,12.7015652407445,554.094619430569,29.02872799993989,1.8168863784199525
54.80330358002742,54.69474070076395,5.264937960631209,1.3407976672768158,0.6380284619347055,1.7607770363857638,1.6267923333667795,119.71595094166959,6.357751954025479e+54,4.9515446632072264e+54,184050.90642652972,21.91783571099379,57.64704317003146,42.34404410772087,1368.0894741346267
54.6778867905923,54.59433077896525,5.071302251168939,1.5161460627464314,0.8870391647806645,2.004357472233396,1.1070347469057125,127.05174075503237,4.7630680967961694e+54,3.929441060413029e+54,117842.58242970414,32.82056573042317,101.0083954441219,12.794836686171223,1408.825291370286
53.26931506378445,54.363521080473284,4.869325428949543,0.6407118759610566,0.750067269643863,0.9855166008539162,1.1240420662544164,3.8497454276773393,1.8591527090854854e+53,2.3095165591705507e+54,74015.96895805805,4.372319360809303,9.672006970727999,13.305832935382941,102.44689626196244
50.629955569030535,53.3910147587827,4.741949868240136,-0.015308163348804138,0.5785062868714913,0.5803477639828222,1.0476759665138884,-4.614292772940425,4.265358793521504e+50,2.4604512171092483e+53,55201.37152008189,0.9653656391560188,3.8049395724591317,11.160302505160862,0.32794477664772215
50.659686112142076,54.71896663495615,4.4327692576921365,0.9664936276070505,1.189838050182015,2.8554205159763892,0.6312357972223568,-0.8060777311538219,4.567579468812887e+50,5.235602120809547e+54,27087.520792361614,9.257498015156129,716.8371689473804,4.277950915314702,1.140099490445379
54.65274236897779,52.54613779982688,4.966882857086667,1.8248683798141254,0.8782697962654978,0.47391748581733023,0.9976858452742059,127.565122295393,4.4951311680378416e+54,3.516720068879175e+52,92657.98618695218,66.81413954881982,2.977950577195679,9.946856333027842,1409.7733301664264
55.08281783924794,54.209405230364375,5.344061784260312,1.8589966582845525,1.039033520426115,0.09583916059742514,2.225415920989606,121.51660790611987,1.210090465979618e+55,1.6195905361479103e+54,220831.88738821383,72.2764242210474,1.24692163576843,168.04125678948787,1428.808914645645
54.93696666741369,53.38630266537222,5.341012412717304,1.605765150514248,0.7182734846194774,1.414984287266947,1.3981820741739925,120.08735169211272,8.64901534069909e+54,2.4338996338999675e+53,219286.7609544748,40.34271763183721,26.000654913413214,25.013938294485705,1403.0025506737961
54.844419870718426,54.9671462478684,5.289525401787829,1.4038809390601923,0.593149947387459,2.1171185918669617,1.6222050947372337,123.0561870646539,6.989077732434228e+54,9.271419841753794e+54,194771.49680269352,25.3443372545089,130.95394673267498,41.89913862835474,1409.4087895101552
51.57322719121783,51.54776812829254,4.82391999272844,0.9243934180639924,0.8618198041793035,0.2389260550043436,0.5874017179207371,-2.651885235498405,3.743063468623035e+51,3.5299465409497106e+51,66668.39390173381,8.402207798722781,1.7335088173625863,3.867245278665868,2.1833684879214434
51.549389381039994,51.67042027970323,4.7846923491672655,1.1709466102680732,0.7227375567468368,2.6153283768818736,2.0881671875669765,-2.3808174430062423,3.543148713986396e+51,4.6818800160022456e+51,60910.52589462232,14.82335843875492,412.4092303368758,122.50877226789196,2.324042985204346
50.95056093397853,51.52638777179248,4.639470089796321,1.0255859886790977,1.2558284019395725,0.642858814284704,2.3896872042825765,-1.2742182006952698,8.924028199805785e+50,3.360375206909574e+51,43598.353643620205,10.606839290240444,4.393987471446827,245.29415757187994,0.6364465069170104
54.707197870486006,54.17202901115089,5.129650409367083,1.418814822664792,0.823693481148801,1.914658949185589,0.9243532750818478,124.84998835291779,5.0956298201739583e+54,1.4860349070596542e+54,134787.74554114617,26.230998503513646,82.15971974795914,8.401431196431277,1394.2096588866668
50.87582579863932,54.633180034475664,4.8011367935546625,1.3833937420735696,1.3106904045452177,0.47596506226971425,0.9111109986857766,-2.5767106428029662,7.513214684183376e+50,4.297145257264521e+54,63261.10790767387,24.176517437441344,2.992023927287214,8.149125359465359,0.37665400671038146
51.123492642383894,52.174720074644384,4.9603481823104065,1.286514259492976,1.42407648660018,2.59979920924713,1.0880142403673612,-3.710382921162349,1.3289010433095331e+51,1.495271565219857e+52,91274.2309314278,19.34257366394952,397.9231531047293,12.24656354669257,0.38497175931431427
50.51714194289958,51.5891381494031,4.664980399139685,1.4192283964361412,1.3606834520297038,2.914703120382757,1.9901106185443065,-2.384198483468461,3.289591288637199e+50,3.8827385655576105e+51,46236.01533899406,26.25598988724013,821.680764687823,97.74861633936492,0.19228655332618366
