param,p16,median,p84,sigma_minus,sigma_plus
E_grb,4.2279925796037585e+47,1.7854706027486004e+50,3.6542043716611427e+53,1.7812426101689966e+50,3.6524189010583943e+53
E_aft,1.650554039621625e+50,3.590495948183647e+53,1.259602471100528e+56,3.5888453941440257e+53,1.2560119751523444e+56
r,680063.6272509327,5355010.889159814,51667347.71223131,4674947.261908881,46312336.823071495
end_grb,11.1826528423713,89.30432707106777,751.7218639549718,78.12167422869648,662.4175368839041
beta,0.7733828149996643,0.8889032900494187,0.9653747907041148,0.11552047504975438,0.0764715006546961
theta,0.19951781470173857,0.5394843755122911,1.0027255334219944,0.33996656081055254,0.4632411579097033
snr,0.0005620275477751026,3.7434949520999217,145.5761577817033,3.7429329245521465,141.83266282960338
