param,p16,median,p84
E_grb,1.7603487833209913e+46,2.257111532149621e+55,2.340509424859762e+57
E_aft,9.684348442885951e+44,4.034178146436584e+54,4.5089379250364426e+57
r,502911.3625160454,7054208.140385968,249234053.85815105
end_grb,7.327635310510788,358.42623450429954,88113.47055974515
beta,0.2690166378369531,0.5940421824862375,0.8621800254702752
theta,0.4465244321292874,1.6488381647850117,2.549148938539168
snr,41.595945053733374,48.98278991477373,55.8426538498514
