logE_grb,logE_aft,logr,logend_grb,beta,theta,log_prob,E_grb,E_aft,r,end_grb,snr
50.06261494212767,54.68966172948944,6.829375652817655,1.9329233961693641,0.9813550745527773,0.2733660179237938,-0.6362604160750983,1.1550876543910795e+50,4.893974808250684e+54,6751117.283511592,85.68866883658171,7.60063376417736
50.06261494212767,54.68966172948944,6.829375652817655,1.9329233961693641,0.9813550745527773,0.2733660179237938,-0.6362604160750983,1.1550876543910795e+50,4.893974808250684e+54,6751117.283511592,85.68866883658171,7.60063376417736
50.24402820336666,54.39547045727162,6.507600797039502,1.9143383433499825,0.9734041147466734,0.33519310800986596,-0.6367455804899942,1.7539944036828478e+50,2.485824461147785e+54,3218109.349127311,82.09908999930066,8.246075808733687
50.24402820336666,54.39547045727162,6.507600797039502,1.9143383433499825,0.9734041147466734,0.33519310800986596,-0.6367455804899942,1.7539944036828478e+50,2.485824461147785e+54,3218109.349127311,82.09908999930066,8.246075808733687
50.24402820336666,54.39547045727162,6.507600797039502,1.9143383433499825,0.9734041147466734,0.33519310800986596,-0.6367455804899942,1.7539944036828478e+50,2.485824461147785e+54,3218109.349127311,82.09908999930066,8.246075808733687
50.24402820336666,54.39547045727162,6.507600797039502,1.9143383433499825,0.9734041147466734,0.33519310800986596,-0.6367455804899942,1.7539944036828478e+50,2.485824461147785e+54,3218109.349127311,82.09908999930066,8.246075808733687
50.24402820336666,54.39547045727162,6.507600797039502,1.9143383433499825,0.9734041147466734,0.33519310800986596,-0.6367455804899942,1.7539944036828478e+50,2.485824461147785e+54,3218109.349127311,82.09908999930066,8.246075808733687
50.24402820336666,54.39547045727162,6.507600797039502,1.9143383433499825,0.9734041147466734,0.33519310800986596,-0.6367455804899942,1.7539944036828478e+50,2.485824461147785e+54,3218109.349127311,82.09908999930066,8.246075808733687
50.24402820336666,54.39547045727162,6.507600797039502,1.9143383433499825,0.9734041147466734,0.33519310800986596,-0.6367455804899942,1.7539944036828478e+50,2.485824461147785e+54,3218109.349127311,82.09908999930066,8.246075808733687
50.07233395576973,54.712649496788835,6.835839616913905,1.9391717668128432,0.9830678370140391,0.2698015403464759,-0.6413256156904652,1.181228605921585e+50,5.159997566246366e+54,6852351.253334852,86.93041778025588,8.042542120158375
49.916627856549034,54.73734593512739,6.85454687917852,1.9442377616775108,0.9811092160436669,0.27366241913135336,-0.6478744265231139,8.253304274756367e+49,5.461927550068597e+54,7153966.121771076,87.95038839607682,7.863075738313095
49.95845962147116,54.398364450969225,6.55415818076717,1.8202640810730888,0.9570956621243858,0.34170669110609475,-0.6636280382691816,9.0878180115087e+49,2.502444480584451e+54,3582268.8841694174,66.10953174756358,6.762665617971803
49.95845962147116,54.398364450969225,6.55415818076717,1.8202640810730888,0.9570956621243858,0.34170669110609475,-0.6636280382691816,9.0878180115087e+49,2.502444480584451e+54,3582268.8841694174,66.10953174756358,6.762665617971803
49.100213395490904,54.423067403629126,6.704600786372241,1.8996616713277672,0.9893461202978258,0.327241840408407,-0.6720672063659765,1.2595441509910245e+49,2.6489112245921503e+54,5065248.847090886,79.3709669728772,7.158254541757992
49.100213395490904,54.423067403629126,6.704600786372241,1.8996616713277672,0.9893461202978258,0.327241840408407,-0.6720672063659765,1.2595441509910245e+49,2.6489112245921503e+54,5065248.847090886,79.3709669728772,7.158254541757992
49.100213395490904,54.423067403629126,6.704600786372241,1.8996616713277672,0.9893461202978258,0.327241840408407,-0.6720672063659765,1.2595441509910245e+49,2.6489112245921503e+54,5065248.847090886,79.3709669728772,7.158254541757992
50.052702937407844,54.34201616018214,6.567825170743944,1.933535171493292,0.9681184790418531,0.3292240264076225,-0.7390233598191687,1.1290233850665154e+50,2.1979416570997637e+54,3696793.319917586,85.80946050059164,5.710047246691378
50.052702937407844,54.34201616018214,6.567825170743944,1.933535171493292,0.9681184790418531,0.3292240264076225,-0.7390233598191687,1.1290233850665154e+50,2.1979416570997637e+54,3696793.319917586,85.80946050059164,5.710047246691378
50.052702937407844,54.34201616018214,6.567825170743944,1.933535171493292,0.9681184790418531,0.3292240264076225,-0.7390233598191687,1.1290233850665154e+50,2.1979416570997637e+54,3696793.319917586,85.80946050059164,5.710047246691378
50.052702937407844,54.34201616018214,6.567825170743944,1.933535171493292,0.9681184790418531,0.3292240264076225,-0.7390233598191687,1.1290233850665154e+50,2.1979416570997637e+54,3696793.319917586,85.80946050059164,5.710047246691378
49.76313243800621,54.25458755169982,6.597024332028275,1.8331591785893913,0.9752869563469296,0.36695873664206424,-0.7410195170906932,5.796054200242539e+49,1.7971633432304874e+54,3953887.7172253365,68.10189215411908,5.673606872510825
49.019827694138634,54.48075809370381,6.705850267368234,1.921038061381219,0.9766348625629563,0.3144175001323486,-0.7422371146211478,1.0467131833463113e+49,3.0252278770405817e+54,5079842.735477154,83.37542512810678,6.363187882854116
49.019827694138634,54.48075809370381,6.705850267368234,1.921038061381219,0.9766348625629563,0.3144175001323486,-0.7422371146211478,1.0467131833463113e+49,3.0252278770405817e+54,5079842.735477154,83.37542512810678,6.363187882854116
49.64804619640658,54.49154321333141,6.732803367448503,1.9910190239567958,0.9694454527317063,0.4558773423818268,-0.7669411268228123,4.446785659270842e+49,3.1012959594868136e+54,5405095.447151788,97.95328922013621,6.155386621260259
50.29662940949502,54.24465486494915,6.39060949747944,1.833492802753981,0.97991657018836,0.4910980484015214,-0.7687321731623641,1.979836877965779e+50,1.7565271420633497e+54,2458156.321318861,68.15422799294849,10.260613313009362
50.050093045677656,54.256601452584846,6.206477967567878,1.8919435906621618,0.9356144157867748,0.33861364111849224,-0.7703180379136906,1.122258867560896e+50,1.805516462311896e+54,1608710.7634284457,77.97288270732822,7.952851516331126
50.050093045677656,54.256601452584846,6.206477967567878,1.8919435906621618,0.9356144157867748,0.33861364111849224,-0.7703180379136906,1.122258867560896e+50,1.805516462311896e+54,1608710.7634284457,77.97288270732822,7.952851516331126
50.050093045677656,54.256601452584846,6.206477967567878,1.8919435906621618,0.9356144157867748,0.33861364111849224,-0.7703180379136906,1.122258867560896e+50,1.805516462311896e+54,1608710.7634284457,77.97288270732822,7.952851516331126
49.91406317117094,54.573735870646416,6.426981534841655,1.8188639758868406,0.923857063374588,0.37235667075161955,-0.7806412786078271,8.204708788803492e+49,3.7474502038198504e+54,2672892.761266479,65.89674696319989,10.514056471565155
50.33298689316456,53.73093951592622,6.090054005977157,1.887489982382954,0.9963826079244464,0.3075321195813837,-0.7828870543174102,2.152716765604707e+50,5.381948230507228e+53,1230421.7683778766,77.17737133264157,6.84596094231797
50.33298689316456,53.73093951592622,6.090054005977157,1.887489982382954,0.9963826079244464,0.3075321195813837,-0.7828870543174102,2.152716765604707e+50,5.381948230507228e+53,1230421.7683778766,77.17737133264157,6.84596094231797
50.33298689316456,53.73093951592622,6.090054005977157,1.887489982382954,0.9963826079244464,0.3075321195813837,-0.7828870543174102,2.152716765604707e+50,5.381948230507228e+53,1230421.7683778766,77.17737133264157,6.84596094231797
50.33298689316456,53.73093951592622,6.090054005977157,1.887489982382954,0.9963826079244464,0.3075321195813837,-0.7828870543174102,2.152716765604707e+50,5.381948230507228e+53,1230421.7683778766,77.17737133264157,6.84596094231797
50.33298689316456,53.73093951592622,6.090054005977157,1.887489982382954,0.9963826079244464,0.3075321195813837,-0.7828870543174102,2.152716765604707e+50,5.381948230507228e+53,1230421.7683778766,77.17737133264157,6.84596094231797
50.33298689316456,53.73093951592622,6.090054005977157,1.887489982382954,0.9963826079244464,0.3075321195813837,-0.7828870543174102,2.152716765604707e+50,5.381948230507228e+53,1230421.7683778766,77.17737133264157,6.84596094231797
