E_grb,theta,phi_ej,r,beta,end_grb,E_aft,theta_j,snr
1.7523042942799867e+54,2.0114122895440505,5.882806391253512,13176480.961712359,0.9330188548524864,1.534186778980639,3.541453435110467e+55,0.24985776355590048,12.968359817754347
9.709109986700987e+54,0.5372947999593547,3.0033900219240235,16425973.232157076,0.9579355336071923,1.668193995835405,4.7886808047398623e+52,0.12678886873958728,19.17295436283563
1.4156793618593689e+47,2.3627666116275825,1.7623967381668104,24623294.870413784,0.9519817683106289,23.979703489078737,8.856362496409883e+55,1.2238581974406606,10.2766956744076
9.188018541041468e+54,0.44340945456072905,0.2121188907346529,26333763.305389825,0.9900974158583209,512.1795810114425,1.5779320643830065e+50,0.6028041735334269,13.452203848198124
5.981206123821563e+49,1.4079710371308738,2.934333658637878,24351261.799844954,0.9530579613628797,2.9267982030684516,2.2313398893890613e+55,0.4751715887353934,10.849732595022362
4.38650978199406e+50,1.3297337276728978,1.9175127860242536,12093902.587527506,0.9729518356882967,175.99515706620517,4.0395429961145433e+55,0.1455724340533352,13.808334486389768
3.904779846007991e+49,1.0284564782890195,0.25987581632229545,40006652.87171557,0.9393460041782818,9.203083326772738,6.9643220585573e+55,0.3270616779231088,23.188024748633644
6.268507980582348e+53,0.7049147129272546,4.651483095478684,56189330.22359306,0.9905048081951215,6.931924312979025,3.9134864629810257e+55,1.4696137134129117,14.694465638388701
3.7487932462307285e+53,0.27786855006616273,0.09181151565529268,23791461.73074134,0.9641706070619636,1.4541834877298196,3.305076229238004e+55,0.1548302097568531,16.61349645369246
8.702273654717802e+49,1.5230453348029835,4.434690561839473,18695881.40051522,0.9093850162586198,1.9307325063969054,5.765631788904221e+55,1.202371307271153,27.974942610805584
8.989035137389135e+47,0.9126768346649912,5.8761813151096405,38497677.32475653,0.9924520532516763,64.42259938784461,5.607984257050541e+55,1.3008760344798584,14.648768280474247
5.583937246849136e+47,1.4454893092203582,4.218082952748826,12731460.53507053,0.9276589425925166,25.151563384915047,9.695931983664588e+55,1.5153459589159304,46.12786815293364
1.89442261492897e+49,0.7382545749920469,2.9467450848807424,11301417.902129283,0.9948554209677503,29.373099468689205,8.431563095049103e+54,1.0811027423486634,13.201085927203753
5.096682170969793e+51,1.206997408263971,1.2268790501284432,16555111.882089783,0.9153731871208176,3.3387646997181353,4.1939422605484635e+55,0.16444255437816105,26.264340462345153
5.335682266461934e+53,1.9472039665525287,3.0812543633435263,12263636.765469246,0.9703033069455996,5.199977561902504,2.1156270098579345e+55,0.018362067893831387,13.303953828897212
9.401412877232966e+54,0.6511350706407155,4.128584965964155,13279951.421876146,0.9023794356426225,91.69981164398654,5.496686131222783e+55,0.6486048177712417,17.177485081476558
8.376920055232322e+48,1.4935292099779096,4.673870909118127,53628777.22101059,0.952015706218034,59.16837341775839,6.903774890231894e+55,0.6918435486665111,12.009151501477477
1.583735260042821e+54,1.0825754034623385,0.30030056723828935,11465419.484142698,0.9785042521668598,10.583244659973335,6.558698363407762e+54,1.4019174894334567,11.693843793485824
5.9387470562330424e+54,0.8788893811105024,3.2468476724895283,10278439.759667657,0.9393376181778498,1.1541422081202737,1.6504099361222237e+54,0.4334315793764631,20.812861096101344
3.5604295231585064e+54,0.45787140041025115,2.0303517712037684,20394302.74674392,0.9799711476885714,1.0144983921848834,7.814944223041816e+55,1.1656702534049448,48.712574017425254
8.046993676206558e+47,0.6037788822025267,0.908637431116191,21993189.89356008,0.937440963181667,7.576969364920337,8.666787485440252e+55,0.3956881832125144,14.632590902659537
1.837812146344523e+53,1.9640571251485168,0.05400053121316378,13934056.864936445,0.9579385591380298,2.3373713459781125,6.520622071635284e+55,0.3499167958733669,33.15191105478617
4.361789531635468e+49,0.49864123029445495,4.736285378554163,22137561.01329607,0.9897507512054406,34.35658785369643,2.9473177256622886e+55,0.9891228667662182,25.062533675291608
6.811105040626942e+48,1.7035287332552582,0.2506736285799535,11362701.449684292,0.9014105961349793,24.547113720788698,1.9113077093685203e+55,1.5676119549758856,12.127767751682127
7.440317065623064e+53,0.8113507543698907,2.94324155407605,30943996.760772027,0.9385076496975496,58.15159719026205,6.169649044251403e+55,0.760775443956636,23.68629587069778
7.648760024280551e+52,0.2611929078015851,5.844608915558185,22483926.520282637,0.9339441099541261,2.204114159563376,7.139115286454259e+55,0.05226914279674375,14.982956312970941
3.147683227092937e+50,0.6658494605598322,6.119759445756482,15335785.21952162,0.9714085937035271,2.086889005716317,2.8205382361326414e+55,1.5461286577331808,32.878110584738664
5.186570391597108e+48,1.6252679147037483,4.935503467690075,14503477.124219684,0.9685919376369566,7.205690040130853,9.47348273415256e+55,0.6994716658139231,64.27035998420875
5.224171497511828e+53,0.9417600030328337,4.437295106077767,22661629.148619466,0.9802035369521939,96.23297977128568,2.502119320336289e+55,1.5061911843485376,10.976159822845457
3.310020143106973e+52,0.7193020177705364,1.9658327068571935,33264121.435098447,0.9075498340147548,10.57843549824134,5.666430865942196e+55,1.5600102771469202,16.45525029790966
